Time,controller_network_latency.mean {controllerid: 2828},controller_network_latency.mean {controllerid: 2830},controller_network_latency.mean {controllerid: 2831},controller_network_latency.mean {controllerid: 2832},controller_network_latency.mean {controllerid: 2833},controller_network_latency.mean {controllerid: 2834},controller_network_latency.mean {controllerid: 2835},controller_network_latency.mean {controllerid: 2836},controller_network_latency.mean {controllerid: 2837},controller_network_latency.mean {controllerid: 2838},controller_network_latency.mean {controllerid: 2839},controller_network_latency.mean {controllerid: 2840},controller_network_latency.mean {controllerid: 2841},controller_network_latency.mean {controllerid: 2842},controller_network_latency.mean {controllerid: 2843},controller_network_latency.mean {controllerid: 2844},controller_network_latency.mean {controllerid: 2845},controller_network_latency.mean {controllerid: 2846},controller_network_latency.mean {controllerid: 2847},controller_network_latency.mean {controllerid: 2848},controller_network_latency.mean {controllerid: 2849},controller_network_latency.mean {controllerid: 2850},controller_network_latency.mean {controllerid: 2851},controller_network_latency.mean {controllerid: 2852},controller_network_latency.mean {controllerid: 2853},controller_network_latency.mean {controllerid: 2854},controller_network_latency.mean {controllerid: 2855},controller_network_latency.mean {controllerid: 2856},controller_network_latency.mean {controllerid: 2857},controller_network_latency.mean {controllerid: 2858},controller_network_latency.mean {controllerid: 2859},controller_network_latency.mean {controllerid: 2860},controller_network_latency.mean {controllerid: 2861},controller_network_latency.mean {controllerid: 4416},controller_network_latency.mean {controllerid: 8083},controller_network_latency.mean {controllerid: 8084}
1633286940000,8.178,5.465,18.125,7.503,,8.573,8.19,6.995,19.026,8.616,8.187,8.665,,8.26,8.69,,8.491,,,17.751,7.375,7.187,,,7.428,6.654,,,18.989,8.108,19.308,,,4.142,6.82,5.015
1633287000000,96.355,6.869,11.551,23.785,8.445,6.227,7.091,17.191,,,,,8.162,7.632,9.154,6.591,7.331,7.66,11.932,,9.614,8.127,8.908,7.936,7.576,6.375,,9.111,5.766,18.111,6.657,60.802,15.024,,4.572,4.598
1633287060000,9.757,5.77,7.824,,8.5,,6.276,,6.888,9.075,7.28,19.011,6.637,8.627,6.755,7.284,,20.548,12.803,8.466,8.443,8.6,22.24,7.624,7.531,,,8.093,6.935,,7.517,8.825,6.877,5.498,6.068,6.179
1633287120000,,6.79,,7.586,6.373,19.399,,7.224,7.366,7.749,6.924,7.869,9.446,16.971,,6.98,8.16,17.201,13.539,6.23,,,8.375,8.313,7.362,7.474,,7.659,6.635,6.789,6.025,7.333,8.718,6.394,6.287,5.873
1633287180000,7.61,,7.527,7.158,7.489,8.053,6.075,7.82,8.519,19.047,7.732,7.107,8.82,30.305,7.943,8.077,8.234,7.135,15.655,7.631,7.751,6.928,8.712,8.694,,6.381,,9.688,,8.508,,8.594,7.325,6.56,,
1633287240000,8.254,4.912,8.742,7.315,,7.188,6.763,18.526,6.82,10.042,,7.961,,,7.721,,17.75,,,9.069,7.686,7.886,,,8.387,7.263,,,19.23,7.127,6.878,,,6.411,5.861,6.355
1633287300000,7.373,6.178,7.569,6.399,8.058,7.756,8.148,7.341,,,7.73,,17.999,8.386,8.271,7.802,7.573,9.421,13.478,,7.935,8.698,9.084,7.073,7.607,7.957,,7.929,7.564,17.923,18.779,7.581,7.418,5.305,5.846,5.995
1633287360000,7.617,5.401,18.867,,6.476,,7.946,,8.638,19.457,7.008,6.801,18.904,8.518,6.732,7.493,,19.042,10.88,8.355,7.474,7.046,9.215,8.496,7.459,,,8.497,7.414,,6.963,18.7,7.19,,6.208,4.526
1633287420000,,4.734,,22.326,10.106,29.82,,7.763,6.352,8.338,6.657,7.507,6.735,8.493,,7.185,6.802,18.446,13.5,11.69,,,9.328,9.427,7.484,7.421,,9.228,18.262,7.249,7.953,17.964,7.163,5.987,5.698,5.632
1633287480000,5.784,,11.712,17.399,12.895,6.888,7.782,7.391,19.324,7.919,7.804,8.395,6.599,5.97,7.283,7.069,17.961,8.657,14.461,8.636,8.226,27.906,8.806,7.642,,6.238,,7.04,,6.651,,6.79,7.016,4.198,,5.265
