Time,controller_raw_network_health.mean {controllerid: 2828},controller_raw_network_health.mean {controllerid: 2830},controller_raw_network_health.mean {controllerid: 2831},controller_raw_network_health.mean {controllerid: 2832},controller_raw_network_health.mean {controllerid: 2833},controller_raw_network_health.mean {controllerid: 2834},controller_raw_network_health.mean {controllerid: 2835},controller_raw_network_health.mean {controllerid: 2836},controller_raw_network_health.mean {controllerid: 2837},controller_raw_network_health.mean {controllerid: 2838},controller_raw_network_health.mean {controllerid: 2839},controller_raw_network_health.mean {controllerid: 2840},controller_raw_network_health.mean {controllerid: 2841},controller_raw_network_health.mean {controllerid: 2842},controller_raw_network_health.mean {controllerid: 2843},controller_raw_network_health.mean {controllerid: 2844},controller_raw_network_health.mean {controllerid: 2845},controller_raw_network_health.mean {controllerid: 2846},controller_raw_network_health.mean {controllerid: 2847},controller_raw_network_health.mean {controllerid: 2848},controller_raw_network_health.mean {controllerid: 2849},controller_raw_network_health.mean {controllerid: 2850},controller_raw_network_health.mean {controllerid: 2851},controller_raw_network_health.mean {controllerid: 2852},controller_raw_network_health.mean {controllerid: 2853},controller_raw_network_health.mean {controllerid: 2854},controller_raw_network_health.mean {controllerid: 2855},controller_raw_network_health.mean {controllerid: 2856},controller_raw_network_health.mean {controllerid: 2857},controller_raw_network_health.mean {controllerid: 2858},controller_raw_network_health.mean {controllerid: 2859},controller_raw_network_health.mean {controllerid: 2860},controller_raw_network_health.mean {controllerid: 2861},controller_raw_network_health.mean {controllerid: 4416},controller_raw_network_health.mean {controllerid: 8083},controller_raw_network_health.mean {controllerid: 8084}
1633287840000,79,,74,76,80,91,100,86,77,100,,87,,,100,,100,,,100,100,100,100,,100,79,,,100,100,79,98,88,101,,101
1633287900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633287960000,,,,,,,,,,,,,,127,100,,,,,,,,100,,,,,,100,,,97,,,101,
1633288020000,,101,,76,,,,85,79,100,88,87,,127,,100,100,100,100,,,,100,,100,,,100,100,100,83,95,,,101,101
1633288080000,76,101,75,81,,88,100,84,79,100,86,87,71,127,100,,100,,99,100,100,100,,,,80,,100,,100,,,,101,101,101
1633288140000,77,101,74,74,79,89,100,85,76,100,,,,,100,100,100,100,,100,100,100,100,100,100,78,,,100,100,81,96,88,101,101,101
1633288200000,76,,71,79,78,,100,84,,,88,87,73,127,100,100,100,100,100,,100,100,100,100,100,82,,100,100,100,80,97,88,101,,
1633288260000,77,101,70,,82,86,100,,78,100,86,86,72,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,,81,97,86,101,101,101
1633288320000,,101,,75,79,86,,85,80,100,88,86,72,127,,100,100,100,100,100,,,100,100,100,79,,100,,100,,96,88,101,101,101
1633288380000,78,101,70,77,,88,100,84,78,100,86,87,70,127,100,,100,,100,100,100,100,,,,81,,100,100,100,80,,,,101,101
1633288440000,79,101,70,76,79,87,100,86,77,,,,,,100,100,100,100,,100,100,100,100,100,100,79,,,100,100,83,97,88,101,101,101
1633288500000,79,,69,,83,,100,84,,100,87,86,71,127,100,100,100,100,100,,100,100,100,100,100,82,,100,100,100,78,96,87,101,,101
1633288560000,,101,70,77,79,88,100,,77,100,87,86,71,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,,81,98,89,101,101,
1633288620000,78,101,68,77,,85,,86,77,100,87,86,72,127,,100,100,100,100,100,,,100,100,,79,,100,,100,,96,88,101,101,101
1633288680000,77,101,,75,78,84,100,84,78,100,,87,70,127,100,,100,,,100,100,100,,,100,79,,100,100,100,83,,,101,101,101
1633288740000,78,101,68,75,80,86,100,84,77,,87,,,,100,100,100,100,100,100,100,100,100,100,100,78,,,100,100,83,98,88,,101,101
1633288800000,79,101,70,,88,,100,84,,100,87,87,73,127,100,100,100,100,100,,100,100,100,100,100,82,,100,100,100,81,97,88,101,101,101
1633288860000,,,69,77,77,83,100,,76,100,87,87,71,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,,81,98,88,101,,101
1633288920000,78,101,68,75,,86,,85,77,100,91,86,72,127,,100,100,100,100,100,,,100,100,,79,,100,,100,,96,,101,101,
1633288980000,88,101,,76,84,83,100,86,76,100,,87,71,127,100,,100,,,100,100,100,,,100,81,,100,100,100,82,,89,101,101,101
1633289040000,77,101,67,75,80,84,100,87,79,,88,,,127,100,100,100,100,100,100,100,100,100,100,100,80,,,100,100,82,97,89,101,101,101
1633289100000,89,101,69,,80,,100,85,,100,90,86,72,,100,100,100,100,100,,100,100,100,100,100,81,,100,100,100,85,96,90,,101,101
1633289160000,,101,67,77,,85,100,,76,100,88,86,71,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,,87,98,88,101,101,101
1633289220000,76,,69,77,77,87,,86,76,100,88,86,73,127,,100,100,100,100,100,,,100,100,,79,,100,,100,,,,101,,
1633289280000,83,101,,76,79,89,100,86,77,100,,88,74,127,100,,100,,,100,100,100,,,100,80,,100,100,100,84,96,92,101,101,101
1633289340000,77,101,68,74,76,,100,86,,,86,,,127,100,100,100,100,100,100,100,100,100,100,100,80,,,100,100,82,97,89,101,101,101
1633289400000,,101,70,,81,84,100,85,78,100,91,86,72,,100,100,100,100,100,,100,100,100,100,100,78,,100,100,100,83,96,92,,101,101
1633289460000,84,101,67,77,,84,100,,76,100,88,87,72,127,100,100,,100,100,100,,100,100,100,100,,,100,100,,82,97,88,101,101,101
1633289520000,78,,70,75,77,86,,86,76,100,89,86,71,127,,100,100,100,100,100,100,,100,100,,80,,100,,100,,,,101,,101
1633289580000,79,101,,75,79,85,100,84,77,100,,86,70,127,100,,100,,,100,100,100,,,100,85,,100,100,100,80,98,89,101,101,
1633289640000,77,101,70,77,77,,100,84,,,88,,,127,100,100,100,100,100,100,100,100,100,100,100,79,,,100,100,80,97,89,101,101,101
1633289700000,,101,68,,77,83,100,,77,100,88,86,71,,100,100,100,100,100,,100,100,100,100,100,,,100,100,100,80,97,89,101,101,101
1633289760000,77,101,70,75,,85,100,85,81,100,90,87,71,127,100,100,,100,100,100,,100,100,100,100,81,,100,100,,82,97,88,,101,101
1633289820000,77,101,69,77,79,86,,85,79,100,88,86,72,127,,100,100,100,100,100,100,,100,100,,80,,100,,100,,,,101,101,101
1633289880000,77,,,75,82,86,100,84,77,100,,87,,127,100,,100,,,100,100,100,,,100,79,,100,100,100,81,96,90,101,,101
1633289940000,76,101,69,77,78,,100,85,,,88,,72,127,100,100,100,100,100,,100,100,100,100,100,80,,,100,100,83,96,90,101,101,
1633290000000,,101,69,,77,86,100,,77,100,90,86,72,,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,80,97,89,101,101,101
1633290060000,79,101,69,75,,85,100,85,80,100,88,88,74,127,,100,,100,100,100,,100,100,100,100,78,,100,100,,81,97,,101,101,101
1633290120000,79,101,70,76,76,87,,86,78,100,,86,71,127,100,100,100,100,100,100,100,,100,100,,80,,100,,100,,,87,,101,101
1633290180000,77,101,,76,81,89,100,84,76,100,90,87,,127,100,,100,,,100,100,100,,,100,78,,100,100,100,82,97,90,101,101,101
1633290240000,75,,71,75,79,,100,85,,,87,,72,127,100,100,100,100,100,,100,100,100,100,100,80,,,100,100,80,98,90,101,,
1633290300000,,101,70,,,85,100,,76,100,91,86,71,,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,81,97,88,101,101,101
1633290360000,79,101,69,73,78,90,100,83,77,100,88,88,73,127,,100,,100,100,100,,100,99,100,100,78,,100,100,,83,97,,101,101,101
1633290420000,77,101,73,75,78,86,,84,76,100,,88,71,127,100,100,100,,100,100,100,,100,100,,80,,100,,100,,,87,,101,101
1633290480000,77,101,,76,78,90,100,85,77,100,87,86,,127,100,,100,100,,100,100,100,,,100,78,,100,100,100,81,96,88,101,101,101
1633290540000,76,,72,,85,,100,84,,,89,,73,127,100,100,100,100,100,,100,100,100,100,100,81,,,100,100,85,96,90,101,,101
1633290600000,,101,70,75,,85,100,,76,100,88,86,71,127,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,82,98,89,101,101,
1633290660000,76,101,71,76,78,88,100,85,76,100,86,86,74,,,100,,100,100,100,,100,100,100,100,78,,100,100,,,97,,101,101,101
1633290720000,77,101,71,76,86,89,,84,77,100,,89,70,127,100,100,100,,100,100,100,,100,100,,79,,100,,100,82,,89,101,101,101
1633290780000,78,101,70,78,78,88,100,84,78,,89,,,127,100,,100,100,,100,100,100,,,100,79,,100,100,100,80,98,87,,101,101
1633290840000,77,101,,,86,,100,84,,100,86,86,74,127,100,100,100,100,100,,100,100,100,100,100,82,,,100,100,78,98,88,101,101,101
1633290900000,,,72,77,,86,100,,78,100,88,87,72,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,79,97,90,101,,101
1633290960000,80,101,70,74,80,88,100,83,76,100,86,86,73,,,100,100,100,100,100,,100,100,100,100,80,,100,,,,,,101,101,
1633291020000,79,101,71,78,83,87,,84,81,100,,88,71,127,100,100,100,,100,100,100,,100,100,,80,,100,100,100,79,97,89,101,101,101
1633291080000,81,101,71,75,80,,100,84,,,89,,,127,100,,100,100,,100,100,100,,,100,79,,100,100,100,79,96,87,101,101,101
1633291140000,77,101,,,,87,100,83,78,100,86,87,73,127,100,100,100,100,100,,100,100,100,100,100,82,,,100,100,78,96,87,,101,101
1633291200000,,101,70,80,83,87,100,,82,100,88,86,74,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,77,96,87,101,101,101
