Time,controller_network_packet_loss.mean {controllerid: 2828},controller_network_packet_loss.mean {controllerid: 2830},controller_network_packet_loss.mean {controllerid: 2831},controller_network_packet_loss.mean {controllerid: 2832},controller_network_packet_loss.mean {controllerid: 2833},controller_network_packet_loss.mean {controllerid: 2834},controller_network_packet_loss.mean {controllerid: 2835},controller_network_packet_loss.mean {controllerid: 2836},controller_network_packet_loss.mean {controllerid: 2837},controller_network_packet_loss.mean {controllerid: 2838},controller_network_packet_loss.mean {controllerid: 2839},controller_network_packet_loss.mean {controllerid: 2840},controller_network_packet_loss.mean {controllerid: 2841},controller_network_packet_loss.mean {controllerid: 2842},controller_network_packet_loss.mean {controllerid: 2843},controller_network_packet_loss.mean {controllerid: 2844},controller_network_packet_loss.mean {controllerid: 2845},controller_network_packet_loss.mean {controllerid: 2846},controller_network_packet_loss.mean {controllerid: 2847},controller_network_packet_loss.mean {controllerid: 2848},controller_network_packet_loss.mean {controllerid: 2849},controller_network_packet_loss.mean {controllerid: 2850},controller_network_packet_loss.mean {controllerid: 2851},controller_network_packet_loss.mean {controllerid: 2852},controller_network_packet_loss.mean {controllerid: 2853},controller_network_packet_loss.mean {controllerid: 2854},controller_network_packet_loss.mean {controllerid: 2855},controller_network_packet_loss.mean {controllerid: 2856},controller_network_packet_loss.mean {controllerid: 2857},controller_network_packet_loss.mean {controllerid: 2858},controller_network_packet_loss.mean {controllerid: 2859},controller_network_packet_loss.mean {controllerid: 2860},controller_network_packet_loss.mean {controllerid: 2861},controller_network_packet_loss.mean {controllerid: 4416},controller_network_packet_loss.mean {controllerid: 8083},controller_network_packet_loss.mean {controllerid: 8084}
1633287780000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,,,,0,0,0
1633287840000,0,,0,0,0,0,0,0,0,0,,0,,,0,,0,,,0,0,0,0,,0,0,,,0,0,0,0,0,0,,0
1633287900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633287960000,,,,,,,,,,,,,,0,0,,,,,,,,0,,,,,,0,,,0,,,0,
1633288020000,,0,,0,,,,0,0,0,0,0,,0,,0,0,0,0,,,,0,,0,,,0,0,0,0,0,,,0,0
1633288080000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,0,,0,,0,,,,0,0,0
1633288140000,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633288200000,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
1633288260000,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0
1633288320000,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,,0,,0,,0,0,0,0,0
1633288380000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,0,,0,0,0,0,,,,0,0
1633288440000,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633288500000,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0
1633288560000,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,
1633288620000,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,,0,,0,,0,,0,0,0,0,0
1633288680000,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,,0,0,,0,0,0,0,,,0,0,0
1633288740000,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0
1633288800000,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1633288860000,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,,0
1633288920000,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,,0,,0,,0,,0,,0,0,
1633288980000,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,,0,0,,0,0,0,0,,0,0,0,0
1633289040000,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633289100000,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0
1633289160000,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0
1633289220000,0,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,,0,,0,,0,,,,0,,
1633289280000,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
1633289340000,0,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633289400000,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0
1633289460000,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0
1633289520000,0,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,,,,0,,0
1633289580000,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,
1633289640000,0,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633289700000,,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0
1633289760000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,,0,0
1633289820000,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,,,,0,0,0
1633289880000,0,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,0,0,,,0,0,,0,0,0,0,0,0,0,,0
1633289940000,0,0,0,0,0,,0,0,,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,
1633290000000,,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0
1633290060000,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,,0,0,,0,0,,0,0,0
1633290120000,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,,,0,,0,0
1633290180000,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
1633290240000,0,,0,0,0,,0,0,,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
1633290300000,,0,0,,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0
1633290360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,,0,0,,0,0,,0,0,0
1633290420000,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,,0,,0,,0,,,0,,0,0
1633290480000,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
1633290540000,0,,0,,0,,0,0,,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,,0
1633290600000,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
1633290660000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,0,0,0,0,,0,0,,,0,,0,0,0
1633290720000,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,,0,,0,,0,0,,0,0,0,0
1633290780000,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,,0,0
1633290840000,0,0,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633290900000,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0
1633290960000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,0,0,
1633291020000,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0
1633291080000,0,0,0,0,0,,0,0,,,0,,,0,0,,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
1633291140000,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,,0,0
